event,start_time,end_time,raw_context,line_number
UNKNOWN EVENT,,,,
LOADING COMMENCED,,,,
LOADING COMPLETED,,,,
VESSEL SAILED,,,,
VESSEL ARRIVED,,,,
VESSEL ARRIVED,,,,
VESSEL SAILED,,,,
UNKNOWN EVENT,,,,
DISCHARGING COMMENCED,,,,
UNKNOWN EVENT,,,,
DISCHARGING COMPLETED,,,,
BERTHED,,,,
QUARANTINE,,,,
IMMIGRATION,,,,
NOTICE OF READINESS,,,,
CARGO DOCUMENT ON BOARD,,,,
